n,business-name href,business-name,categories 2,categories href 2,categories 3,categories href 3,track-visit-website href,years-in-business src,phones,street-address,open-status,body,rating href,menu href
12,https://www.yellowpages.com/atlanta-ga/mip/gallery-32-dental-arts-11405285,Gallery 32 Dental Arts,Dental Hygienists,https://www.yellowpages.com/atlanta-ga/dental-hygienists,Implant Dentistry,https://www.yellowpages.com/atlanta-ga/implant-dentistry,http://www.dentistinbuckhead.com/,https://i3.ypcdn.com/ypu/images/icons/biz-info/in-business.svg?9fd8636,(404) 255-6929,3580 Piedmont Rd NE,OPEN NOW,,,
13,https://www.yellowpages.com/atlanta-ga/mip/great-expressions-dental-centers-1481357,Great Expressions Dental Centers,Dental Clinics,https://www.yellowpages.com/atlanta-ga/dental-clinics,Periodontists,https://www.yellowpages.com/atlanta-ga/periodontists,https://www.greatexpressions.com/dental-offices/georgia-offices/dunwoody,,(770) 451-7041,1720 Old Spring House Ln Ste 315,,,,
14,https://www.yellowpages.com/atlanta-ga/mip/craig-h-ricks-dds-468449853,"Craig H Ricks, DDS",Dental Hygienists,https://www.yellowpages.com/atlanta-ga/dental-hygienists,Implant Dentistry,https://www.yellowpages.com/atlanta-ga/implant-dentistry,,https://i3.ypcdn.com/ypu/images/icons/biz-info/in-business.svg?9fd8636,(404) 767-7788,5529 Old National Hwy,,"THE BEST DENTIST I HAVE EVER BEEN TO AND DEFINITELY, THE MOST GENTLE AND PAINLESS.  AND SINCE DOCTORS MAKE THE WORSE PATIENTS, I THINK IT SAYS A LOT!  i USED TO FALL ASLEEP…",https://www.yellowpages.com/atlanta-ga/mip/craig-h-ricks-dds-468449853#yp-rating,https://www.yellowpages.com/atlanta-ga/mip/craig-h-ricks-dds-468449853#open-menu
15,https://www.yellowpages.com/atlanta-ga/mip/buckhead-family-dentistry-8749795,Buckhead Family Dentistry,Medical Clinics,https://www.yellowpages.com/atlanta-ga/medical-clinics,Clinics,https://www.yellowpages.com/atlanta-ga/clinics,http://www.familydentalatlanta.com/,https://i3.ypcdn.com/ypu/images/icons/biz-info/in-business.svg?9fd8636,(404) 846-9100,3379 Peachtree Rd NE,OPEN NOW,Highly Recommended. I have been a patient of Dr. Travis Paige for over 12 years and I have never been disappointed. He provides excellent care. He is highly intelligent and…,https://www.yellowpages.com/atlanta-ga/mip/buckhead-family-dentistry-8749795#yp-rating,https://www.yellowpages.com/atlanta-ga/mip/buckhead-family-dentistry-8749795#open-menu
16,https://www.yellowpages.com/atlanta-ga/mip/new-health-dentistry-480155514,New Health Dentistry,,,,,,,(404) 445-1499,227 Sandy Springs Pl,OPEN NOW,"i was in there for a root canal and crown. half the price of the others. i had no problems during my visit, no mistakes or issues. temporary crown came off, but its called…",https://www.yellowpages.com/atlanta-ga/mip/new-health-dentistry-480155514#yp-rating,
17,https://www.yellowpages.com/atlanta-ga/mip/kim-terry-c-dds-12415261,"Kim, Terry C, DDS",Orthodontists,https://www.yellowpages.com/atlanta-ga/orthodontists,Oral & Maxillofacial Surgery,https://www.yellowpages.com/atlanta-ga/oral-maxillofacial-surgery,http://www.dunwoodydentalcare.com/,,(770) 393-1524,2494 Jett Ferry Rd,OPEN NOW,"He worked on 3 of my teeth. One with the cavity started hurting after he did the work on it (but it was not hurting before), it became very sensitive to even drinking room…",https://www.yellowpages.com/atlanta-ga/mip/kim-terry-c-dds-12415261#yp-rating,
18,https://www.yellowpages.com/atlanta-ga/mip/lucian-maxwell-ferguson-dds-464430333,"Lucian Maxwell Ferguson, DDS",Periodontists,https://www.yellowpages.com/atlanta-ga/periodontists,Oral & Maxillofacial Surgery,https://www.yellowpages.com/atlanta-ga/oral-maxillofacial-surgery,,https://i3.ypcdn.com/ypu/images/icons/biz-info/in-business.svg?9fd8636,(404) 816-8725,2970 Peachtree Rd NW Ste 460,OPEN NOW,Great family dentist! Very experienced and makes the kids feel very comfortable. The whole family goes here!",https://www.yellowpages.com/atlanta-ga/mip/lucian-maxwell-ferguson-dds-464430333#yp-rating,
19,https://www.yellowpages.com/atlanta-ga/mip/freeman-paul-dds-473847723,Freeman Paul DDS,Cosmetic Dentistry,https://www.yellowpages.com/atlanta-ga/cosmetic-dentistry,,,http://www.atlantadentistrybydesign.com/,https://i3.ypcdn.com/ypu/images/icons/biz-info/in-business.svg?9fd8636,(404) 355-2001,1938 Peachtree Rd NW Ste 308,OPEN NOW,"From Business: Serving Buckhead, Midtown, and the entire Atlanta area Ã¢â‚¬â€œ Dr. Paul Freeman is your General, Cosmetic and Emergency Dentist, offering one visit CEREC…",,
20,https://www.yellowpages.com/atlanta-ga/mip/sage-dental-of-north-druid-hills-460702745,Sage Dental of North Druid Hills,Dental Hygienists,https://www.yellowpages.com/atlanta-ga/dental-hygienists,Dental Clinics,https://www.yellowpages.com/atlanta-ga/dental-clinics,http://www.druidhillsdental.com/,,(404) 460-5710,2171 Lavista Rd NE Ste 200,OPEN NOW,"From Business: Welcome to Sage Dental of North Druid Hills, our modern and family-friendly approach ensures that your smile is our passion and that you receive comprehensive…",,
21,https://www.yellowpages.com/atlanta-ga/mip/richard-earl-williams-dds-468706995,"Richard Earl Williams, DDS",Implant Dentistry,https://www.yellowpages.com/atlanta-ga/implant-dentistry,Teeth Whitening Products & Services,https://www.yellowpages.com/atlanta-ga/teeth-whitening-products-services,,,(404) 237-3309,3535 Piedmont Rd NE Ste P80,,,,https://www.yellowpages.com/atlanta-ga/mip/richard-earl-williams-dds-468706995#open-menu
22,https://www.yellowpages.com/atlanta-ga/mip/blackburn-479300408,Blackburn,Periodontists,https://www.yellowpages.com/atlanta-ga/periodontists,Prosthodontists & Denture Centers,https://www.yellowpages.com/atlanta-ga/prosthodontists-denture-centers,https://www.atlantaprosthodontics.com/,https://i3.ypcdn.com/ypu/images/icons/biz-info/in-business.svg?9fd8636,(404) 659-7696,2812 Piedmont Rd NE,OPEN NOW,,,https://www.yellowpages.com/atlanta-ga/mip/blackburn-479300408#open-menu
23,https://www.yellowpages.com/atlanta-ga/mip/negelow-steven-j-dds-468340193,"Negelow, Steven J, DDS",,,,,,https://i3.ypcdn.com/ypu/images/icons/biz-info/in-business.svg?9fd8636,(404) 261-0909,2900 Peachtree Rd NW Ste 209,CLOSED NOW,,,
24,https://www.yellowpages.com/atlanta-ga/mip/rozema-donald-r-dds-pc-4204765,Rozema Donald R DDS PC,Implant Dentistry,https://www.yellowpages.com/atlanta-ga/implant-dentistry,Teeth Whitening Products & Services,https://www.yellowpages.com/atlanta-ga/teeth-whitening-products-services,,,(404) 252-4220,300 W Wieuca Rd NE Ste B210,OPEN NOW,,,https://www.yellowpages.com/atlanta-ga/mip/rozema-donald-r-dds-pc-4204765#open-menu
25,https://www.yellowpages.com/atlanta-ga/mip/vinings-family-dentistry-3379142,Vinings Family Dentistry,,,,,http://www.viningsfamilydentistry.com/,,(770) 432-1608,2931 Paces Ferry Rd SE,OPEN NOW,,,
26,https://www.yellowpages.com/atlanta-ga/mip/david-a-mays-dds-1105765,David A Mays DDS,Oral & Maxillofacial Surgery,https://www.yellowpages.com/atlanta-ga/oral-maxillofacial-surgery,,,,,(404) 696-6466,3412 Martin Luther King Jr Dr SW,OPEN NOW,,,
27,https://www.yellowpages.com/atlanta-ga/mip/susan-h-lee-dmd-2123030?lid=1001598671044,"Susan H. Lee, DMD",Pediatric Dentistry,https://www.yellowpages.com/atlanta-ga/pediatric-dentistry,,,http://www.atlantakidsdentist.com/,https://i3.ypcdn.com/ypu/images/icons/biz-info/in-business.svg?9fd8636,(404) 355-8557,3280 Howell Mill Rd NW,OPEN NOW,"From Business: For over 10 years, Dr. Lee has been striving to provide children in the Atlanta area the highest quality dental care in a gentle, fun environment. Working along…",,https://www.yellowpages.com/atlanta-ga/mip/susan-h-lee-dmd-2123030?lid=1001598671044#open-menu
28,https://www.yellowpages.com/atlanta-ga/mip/small-smiles-dental-centers-532950,Small Smiles Dental Centers,Pediatric Dentistry,https://www.yellowpages.com/atlanta-ga/pediatric-dentistry,,,http://www.smallsmilesusa.com/,https://i3.ypcdn.com/ypu/images/icons/biz-info/in-business.svg?9fd8636,(404) 696-3163,3050 Martin Luther King Jr Dr SW Ste A,,I LOVE THIS DENTAL OFFICE.THE STAFF ARE VERY FRIENDLY AND PROFESSIONAL.",https://www.yellowpages.com/atlanta-ga/mip/small-smiles-dental-centers-532950#yp-rating,https://www.yellowpages.com/atlanta-ga/mip/small-smiles-dental-centers-532950#open-menu
29,https://www.yellowpages.com/atlanta-ga/mip/marable-h-t-dds-481049166,"Marable, H T, DDS",,,,,http://simplysmile.com/,,(404) 577-0868,75 Marietta St NW Ste 100,OPEN NOW,,,
30,https://www.yellowpages.com/atlanta-ga/mip/allen-matthew-dds-481060978,"Allen, Matthew, DDS",,,,,http://www.atlantadentalcare.org/Matthew_Allen_DDS.html,,(404) 762-5441,171 Cleveland Ave SW,,,,
